,NAME,Address,Phone,Area,ImageUrl
18,Hotel Saint Germain,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/hotel-st-germain-320x320.jpg
19,Hotel ZaZa,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Hotel-zaza-320x320.jpg
20,Hyatt Regency Dallas,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Hyatt_Regency_Dallas-e1546627838881-320x320.jpg
21,La Quinta (Hotel Lawrence),1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/la-quinta-320x320.jpg
22,Lorenzo Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/lorenzo-hotel-320x320.jpg
23,Magnolia Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Magnolia-320x320.jpg
24,Marriott Residence Inn,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Marriott-Residence-320x320.jpg
25,Marriott Towneplace,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Marriott-Towneplace-320x320.jpg
26,Nylo Dallas South Side,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Nylo-320x320.jpg
27,Omni Dallas Convention Center Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Omni-e1546627812676-320x320.jpg
28,Pittman Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/11/Dallas_Credit-Justin-Terveen_2-e1546905975138-320x320.jpg
29,Ritz Carlton,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/ritz-carlton-320x320.jpg
30,Rosewood Crescent Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Rosewood-320x320.jpg
31,Sheraton Dallas,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/sheraton-320x320.jpg
32,Springhill Suites,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Springhill.jpeg
33,The Guild Hotel Downtown,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/BeloGarden-e1546906748738-320x320.jpg
34,The Guild Hotel Victory Park,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/BeloGarden-e1546906748738-320x320.jpg
35,The Joule,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/The-Joule-320x320.jpg
36,The Statler,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/The-Statler-320x320.jpg
37,The Stoneleigh,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/The-Stoneleigh-320x320.jpg
38,Thompson Dallas,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/11/Dallas_Credit-Justin-Terveen_2-e1546905975138-320x320.jpg
39,TownePlace Suites,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/11/Dallas_Credit-Justin-Terveen_2-e1546905975138-320x320.jpg
40,W Dallas – Victory,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/w-Dallas-320x320.jpg
